Topic,Count,Name,Representation,Representative_Docs
9,314,9_gun_guns_to_the,"['gun', 'guns', 'to', 'the', 'of', 'and', 'you', 'is', 'control', 'that']","['They could flat out pivot from “some/all guns are bad” to “guns are bad in the wrong hands.” Of course that is more difficult constitutionally, and ripe for “first they came for…” type arguments. But seriously domestic abusers with a revolver seems worse to me than a responsible owner with an AR-15. I think at some point the US ought to be able to say, “naw, you aren’t in my militia. We will do without your help.”\n\nI’m pro-gun, but when someone tells me we can’t do anything about school shootings because of 2A protections then I find myself in an anti-2A position. Because if it stands in the way of sane regulation it’s a problem even if I think the majority of people ought to have access to guns if they want.\n\nAnd I’m done hearing about standing up to the tyranny of the government because all that really means is brandishing guns at civil servants and protesters seeking political change. None of those lawn chair warriors are taking on armed government officers when they show up trampling on people. No one is defending people from being flat out murdered by police. Those people can go back to jerking off with gun oil because they aren’t fighting for freedom or justice or anything at all, really, other than the right to have guns.', ""You missed the point there. Democrats don't establish real gun control laws that would take away guns. They just create shitty feel good laws that don't have any real affect on guns. Banning certain guns just because they look scary is not effective gun control.\n\nIf and when the US is willing to give up the second amendment, they can push for abolishing guns, but until then, it's a waste of time."", 'Disclaimer: I support gun control, hate gun culture and everything it represents, including libertarianism, toxic masculinity, hyper-individualism, and jingoistic nationalism.\n\nHowever, I have to note that strong polling support for gun control over gun proliferation may not matter. It will always be politically easier to side with gun proliferation than gun control. Almost nobody who supports gun control will be willing to change their vote based on this one issue, while a non-insignificant number of gun supporters will change their vote based on this issue. ""They\'re coming to take our guns"" political ads are played for this reason. 538 has noted this effect, and called gun control support ""broad but shallow"", while gun proliferation support ""narrow but deep"".\n\nFor gun control supporters, their idea is a set of data, numbers, and context about what policy is better, and fairly abstract at that. They don\'t think about it too much in their daily lives. For gun proliferation supporters, however, a gun is a physical thing that they can hold in their hands, and the image of someone taking it away is a powerful political message that cannot be defeated by any stats that show Australians are much less likely to die from guns than Americans.\n\nI am curious to see if any gun proliferation supporters will agree with this analysis.']"
10,288,10_biden_he_trump_the,"['biden', 'he', 'trump', 'the', 'and', 'that', 'is', 'to', 'of', 'in']","['&gt;His approvals ratings are, hard as this is to believe, even worse than Trump\'s\n\nI would attribute this to Biden being unpopular on the left, whereas Trump was very popular across the entire GOP. Bernie voters still don\'t like Biden even if they came home to vote Biden in 2020, and when asked will say ""no I don\'t approve of Biden because he\'s not doing enough.""', 'As someone who is a left of center moderate, I was very happy with Biden winning the nomination. I think he certainly hasn\'t accomplished what he said he would, but also think it\'s unfair to blame for that considering how Biden is facing opposition that thinks negotiation is ""you give us most of what we want and we give you none of what you want or else you\'re being a tyrant."" \n\nI mean, independent voters are upset Covid got to be a concern again. Ok, but Biden has been doing everything possible to beat it using medical facts. If people literally won\'t take their medicine and then complains bout the disease being too bad, what the hell is the doctor supposed to do?\n\nI acknowledge Biden hasn\'t gotten it done but I still support him because Biden isn\'t the problem. The problem is Reps that don\'t understand how governing works and Manchin/Sinema being unreasonable. I want what Biden wants to do. Changing him won\'t make it more likely that his agenda gets passed.', 'You know, it’s wild to me that we find ourselves in this position. I speak as someone who isn’t Biden’s biggest fan, except for what it comes to Ukraine (he’s A+ on that).\n\nGoing into the last midterms, I thought that the Republicans were going to make a massive against because of Biden’s very apparent unpopularity. Now, the Roe v Wade stuff happened, and I think that really tips the scales and made the Republican wave not come to fruition. \n\nDespite Biden continuing to be unpopular, personally I just don’t see a way that Republicans can win at all right now. Of course, don’t count your chickens before they hatch. But the abortion stuff is still there, and there’s just so much anger and hatred. \n\nI considered myself Republican before, but ever since then have been partyless. I will not, and cannot identify with a political party that does that.\n\nAnyway, I digress. \n\nFrom the perspective of somebody who was quite the Biden hater, I don’t really see a way in which he can lose. I’m not basing this off of much, so only value my two cents for exactly that. \n\nI feel like there’s a really strong chance that Biden will win again. It’s not what I’m dying for, I think somebody else would probably be better. But currently I can’t name one republican that I think would be better. So it is what it is.\n\nThen again, not everybody may share my strong support for Ukraine. But they should.']"
11,265,11_court_the_scotus_supreme,"['court', 'the', 'scotus', 'supreme', 'judges', 'it', 'to', 'of', 'that', 'justices']","['First off the conservatives on the court flip flop between textualism and originalism. I.e. the literal interpretation of the text v.s. the original intent of the authors of the constitution. They are fundamentally contradictory and the conservatives on the court pick and choose when to apply either depending on the desired political outcome. The new tests this court has invented are the ""major questions doctrine"" which again deviates from an originalist or textualist interpretation of the law. It is making massive assumptions in order to get the desired outcome. Furthermore this court has shown a blatant disregard for stare decisis and standing.\n\nThe very fact that there is an amendment process implies that the Constitution is a living document meant to be continually improved to better serve the republic.\n\nEdit:\n\n>You prefer we go back to courts legislating from the bench to suit whatever meets their desired outcomes? That they interpret language however they want regardless of the definitions of words?\nBecause that leads to a lot of inconsistency.\n\nIn case it wasn\'t clear that is ***exactly*** what this conservative court it doing.', 'I think the Supreme Court sounds like they will reject the theory for at least three reasons. 1) Trump-nominated Justices don\'t *have* to do anything for anyone other than themselves. They have the job for life. 2) It would take power away from the courts which would affect the U.S. Supreme Court as well. 3) One or two of the three skeptical Justices seemed like they wanted to say, ""Are you insane? No.""', 'Unfortunately no, they work in sessions and must give out a ruling (it’s a 3 judge panel) so it’s not subject to things like mistrials that happen during regular litigation that can prolong the cases. \n\nAlso the people that want to challenge previews Supreme Court rulings are doing so by passing laws at the state level that they know go against a Supreme Court precedent, then someone sues questioning how constitutional that law is, since it’s a challenge to federal law the circuit court decides, if the circuit says the law is unconstitutional (because it goes against the supreme courts precedent) then  it can submitted for the SCOTUS to review (SCOTUS also has the freedom to choose what cases they hear) and then they can *literally* change their ruling to make that once unconstitutional state law “constitutional”.']"
12,230,12_the_afghanistan_us_was,"['the', 'afghanistan', 'us', 'was', 'iraq', 'war', 'and', 'of', 'to', 'we']","['USA is not the only country in the world. I fail to see how the USA can make inflation even higher in other countries just because USA is big. That\'s not how economics work man.\n\nWeird how you\'re focusing on the *timing* of the inflation and not pointing out any actual policy of the Biden admin.\n\nPlease don\'t tell me you actually think Biden was *wrong* for pulling out of Afghanistan. Trump started the process, and Biden delayed it to try to make it smoother. It was always going to be messy no matter who was doing it. What was the alternative? Stay even longer? Bush did the dumb invasion, Obama punted it to Trump, who then half-committed to withdrawing finally before punting it to Biden. No way Biden deserves the majority of the blame for any issues from that. What is Biden supposed to do here? And staying is NOT an acceptable answer, even if the generals disagree.\n\nThe generals wanted us to *stay* in that hellhole. Normally I\'m ok with deferring to them on military issues, but I\'m sorry, if you try something for TWENTY YEARS and it\'s not working, you have to admit you aren\'t going to accomplish anything by barreling ahead with the same thing.\n\nIf you think Biden\'s ""soft rhetoric"" was a big factor in Russia\'s actions, I have to ask you how you feel about Republicans and their new Russia fetish. It\'s not even a comparison.', ""&gt;we don't oppose the Taliban's return to power if they also uphold an agreement to not let AQ, \n\nTwo flaws. The Taliban absolutely wouldn't uphold that and exploitedly doesn't want to since the US just can't stop them. The Taliban have done something no other country has successfully done, they got BIGGER and richer while fighting the US. They don't have to fear the US Grim Reaper because the reaper malfunctions. Combined with them not loving the US at all (anyone actually shocked?) and they have zero reason to care.\n\nThe seconf flaw is that controlling Afghanistan is not like controlling the US or UK. Just because Kabul says to do something doesn't mean they all do it. Instead, Afghanistan is best controlled by getting local strongman go align with you and having them handle affairs, the Taliban briefly had a lot of control but most of Afghan existence is warlord. Like Pakistan north really.\n\nThis last point critical because a lot of those warlords turned on the Taliban to help the US and the Taliban gonna remember that little bit, but I'm not sure the Taliban has the resources to stop them..yet. Either way, the locals the US just sold out might not be overly enthused about being sold out."", '&gt;interpreter mass killings\n\nThis has already happened, thousands of Afghan allies were left behind and have since been murdered. Like it or not Biden failed horribly in Afghanistan. Did Trump set it up for failure? Of course, he did but that doesn\'t give Biden a free ticket either. People had been ringing the alarm bell since Biden took office that we had no plan to get our allies out of the country. Though Biden was in denial of it, everyone knew that it was always a matter of when the Afghan government was going to collapse, not if.\n\nInstead of doing the smart thing which would have been to acknowledge reality and organize an evacuation of our allies before pulling troops out, Biden went with the optics approach and just pulled troops out regardless of the consequences. The result was the disaster we witnessed unfold and him being rightfully torn to shreds over it. No person in their right mind will ever help us after seeing how we treated the people who risked their lives to help us in Afghanistan.\n\nThe fact that you can claim with a straight face that Afghans clinging onto American planes as they are taking off and American troops being put at the mercy of terrorists as a ""success"" is honestly insulting.']"
13,212,13_of_the_and_to,"['of', 'the', 'and', 'to', 'in', 'is', 'that', 'fascist', 'fascism', 'it']","['&gt;  But, I also think their findings are about to rip this country apart.\n\nDisagree. Everyone knows all of this already. WE ALL KNOW what Trump did.  Sure, we are getting a lot of the nastier details now, but fundamentally there are no bombshells here. \n\nThe country is already ripped apart. You have more than half of actual sitting republicans openly cheering for Fascism.  And people are so dumb they think ""Biden"" controls the gas prices and will vote more of these Fascists into power. \n\nThey are liars. They know climate change is real, they know making abortions illegal hurt woman, they know banning books and destroying public education will harm society- they KNOW all of this, they just lie about it so they can stay in power.\n\nPeople are just too distracted by trying to care of their families that they haven\'t taken to the streets in the millions-- which is also by design.', 'Every conservative idiology or ways of thinking that differ from ‘centre’ or left political agendas are labelled as facist these days. In my opinion that is wrong. Yes of course in those conservative or right political groups there are individuals where you might say that they lean towards facism. But saying that every one of them is a facist is fundamentally wrong. Labelling people is something that many left-ish wing politics are against.\n\nIn times of crisis like financial setbacks or now the energy crisis in Europe draws people to something different. They want to change that what holds the power namely the traditional political families. They are in charge when things go south. Who can blame them? It is not wrong to search for an alternative solutions for what you think is a problem. If they think that certain groups can bring balance or whatever, they could consult them or things like that. Its not wrong to do that. \n\nSo for politicians to say that fascism is on the rise is just so that they can keep there votes/power or whatever they desire. What they should do is look for solutions for problems that resulted from, what many believe, there own incompetence.', 'I don\'t think the danger is in burning out the protesters, but rather the American public. At some point, they\'ll just start tuning out the protests. \n\nThe Women\'s March got a lot of attention, although the message was muddled. Once they start having a protest a week, is anyone going to care anymore? I think most people will just say, ""Oh, another protest. They\'re always protesting about something.""\n\nThat said, there\'s not much that can be done about this since there\'s no central authority that controls protests. It\'s a tragedy of the commons problem. Every group with an issue is going to protest since that\'s the cool thing to do and they\'re all going to drown each other out.\n\nA lot of these protests aren\'t even Trump-specific. I thought the airport protests were the most effective thus far, because they targeted a Trump-specific issue that had highly visible consequences--people at airports being denied entry into the U.S. But if people are be protesting something that any standard-issue Republican would have done, I don\'t think the general public is really going to care. They\'re used to Republicans, after all, most of them have Republicans as governors and representatives in Congress.']"
14,208,14_desantis_trump_he_his,"['desantis', 'trump', 'he', 'his', 'him', 'to', 'is', 'the', 'in', 'and']","[""If somehow they both run and debate, I don't think policy even enters into it.\n\nTrump will say that DeSantis owes his whole political career and election as Governor to Trump, point out all the times DeSantis was fawning over how great Trump is -- and even by political standards or even Trump specific standards, he was to a severely embarrassing degree, [example one of too many to count](https://www.youtube.com/watch?v=z1YP_zZJFXs) -- and why is DeSantis so disloyal to him now?\n\nI don't think DeSantis has the charisma to spin that successfully with voters, but even if he does -- it's still not a debate on policy."", ""It's going to make his chances worse, but in truth it's not going to have much effect either way. Because it's not what's driving the primary race.\n\nI see two ways this plays out. Either Trump stays out of prison, which emboldens his base and Trump does his middle school bully routine to DeSantis, resulting in Trump being the nominee. Or Trump's legal troubles grow bad enough that the rich Republicans who run the media systematically push DeSantis forward, Trump's campaign collapses (possibly because he's in prison), and DeSantis ends up the nominee by default.\n\nWhen it comes to the general, well Trump and his acolytes have lost the last three elections. Every candidate he supported the last time around, got hammered. There is no reason to think he'll be able to improve his performance from the last go around. And if DeSantis is the candidate, yes this will absolutely drive Dem turnout, and he'll be crushed by a +10 blue wave. (The last election, Dems were +9 on average, lol). But it's not going to be all that significant for the primaries."", ""He always has a chance as long as his base stays with him. Establishment Republicans hated Trump, then he won, and they changed their tune, but they'll absolutely turn on him the minute they feel he's no longer useful. \n\nDeSantis is his biggest challenger, but DeSantis has the charisma of a wet rag, he's awkward, he always looks like he just woke up from a nap. DeSantis has done well in Florida, styling himself as the anti-woke politician, pandering to the worst of the worst, but Trump does it better, *much* better. \n\nI think it's also important to remember that counties that went for Trump had higher death rates for Covid than non-Trump counties. How many Trump voters have died in the last 2 years, and how many will die in the next 2 years? It's hard to say, but I don't think it's an insignificant number, especially when a race can come down to a few thousand votes in either direction. \n\nSo to sum it all up, I believe he has a chance, but it'll ultimately come down to how his base gets out and votes for him in the primaries. Everyone knows Trump is a vindictive little man, and no one wants to be on the wrong side of him, if he would somehow manage to get the nomination again.""]"
15,203,15_china_taiwan_us_the,"['china', 'taiwan', 'us', 'the', 'russia', 'to', 'of', 'and', 'chinese', 'is']","['Encouraging trade between the two nations won’t help prevent conquest.  Taiwan will always be just a tiny portion of China’s trade. It will never be enough to dissuade China from attacking.\n\nSuch trade does however weaken Taiwan.  It makes it possible for China to exert pressure on Taiwan.  “Don’t buy that anti-missile system from America or else we’ll wreck your economy by stopping trade.”  “If you vote for the anti-China candidate we’ll wreck your economy.” etc.\n\nIt also creates more opportunities for China to spread its propaganda in Taiwan through commercials and even product packaging.\n\nIt creates opportunities for China to limit what Taiwanese media can do and say.  We have seen this already with individual performers like Tsuyu and Amei. What heppens when a large corporation owns a Taiwanese newspaper and China threatens to cut that corporation’s other businesses out of the Chinese market unless it prints pro-conquest stories?\n\nWhat happens if China just suddenly without warning cuts all trade with Taiwan? Taiwan’s GDP plummet ls along with its ability to buy or produce weapons and weapons technology.\n\n\nA better way to defend Taiwan is for other countries, particularly strong western countries like America, Japan, S Korea, Australia, Germany and France, to sign Free Trade Agreements with Taiwan.  Keeping Taiwan’s economy strong and unreliant on China is key to maintaining Taiwan’s freedom.', ""The u.s could handle a two front war between Russia and china. Mostly because Russia has shown itself incapable of handling Ukraine, let alone all of NATO. In Russia's current condition, the United States could leave the European theater mostly to its European allies while they focus on china.\n\nAs for china, that war would be primarily a naval one, one that china would lose. Between Japan and the u.s navies (assuming nobody else gets involved, which is a big if) china could fairly easily have it's maritime trade routes cut and there would not be much they could do about it.\n\nSince china imports the vast majority of it's energy, with somewhere around 80% of it coming by sea, and is barely self sufficient when it comes to food, which is according to CCP data, so take that how you will, china would collapse in on itself within six months of such a blockade, and they know this.\n\nThis all assumes nukes aren't a factor, which they are.\n\nWhat we are seeing from them is most likely just saber rattling for their citizens."", 'I would say no.\n\nAll we are spending in Ukraine is surplus equipment that the US military isn’t really using these days, and intelligence assets.\n\n\nAs to China, I don’t think we should be worried.\n\nRussia is and has been (back in the days of the USSR) a nation that was fairly violent in terms of war. China is not, having been one of the more peaceful nations.\n\nAlso Russia isn’t nearly as committed to the world economy in its survival as China is. If the Chinese economy were sanctioned like the Russian economy, and the global tap of oil were closed, (China is an importer not an exporter of gas and oil) China would be hurt even more than Russia has been.\n\nThe reality is that the strength the West has shown with Ukraine has probably ended any Chinese attacks on Taiwan in the near future. \n\nRussia has a long border between them, Belarus and Ukraine, and the ability to do water landings.\n\nThere is 100 miles of water between China and Taiwan, that is far more difficult. If the USA got involved, China would have a hard time crossing that water.']"
16,200,16_sanders_bernie_he_clinton,"['sanders', 'bernie', 'he', 'clinton', 'his', 'the', 'and', 'to', 'for', 'that']","['I don’t think Sanders had any real political capital when Obama was president for the Democratic party to by and large pay attention to him. Once he made himself known on a national level after 2016, that changed the game and the Democratic party realized this guy has a base that they need in part to win elections. He shifted the party slightly to the left so come 2020, the standard Democratic candidate platform looked somewhat closer to his than it did to Clinton’s. Sanders probably understood that another four years of Trump would be far worse for the progressive cause than Biden would be, obviously, and the two had rapport from their time in the senate. \n\nThis works both ways too, as you note Sanders threatened to try and primary Obama in 2012. This was probably an attempt by Sanders to get his name out there as a more progressive alternative. Now that Sanders *is* a known figure, who likely has no further intentions of running for president due to age, he has no real reason to challenge the current president in ways he had to challenge previous presidents and candidates.', 'The amount of Sanders supporters who I\'ve talked to who have started their sentence with ""I have never paid attention to politics at all until Bernie but...""\n\n-or-\n\nThe amount of Sanders supporters who have tried to explain to me why ""as a black male you need to vote for Sanders because...""\n\n-or-\n\nThe amount of Sanders supporters who say ""Sanders is saying thing that **no other politician ever** has said, and will lead the revolution to fixing this country!""\n\n-or-\n\nthe amount of Sanders supporters  who said ""I\'d vote for a candidate who literally agrees with me on nothing [Trump] because i hate Clinton""\n\n-or- \n\nthe amount of Sanders supporters who have said ""southern democrats aren\'t real democrats""\n\n-or-\n\nThe amount of Sanders supporters who use sexist language when talking about Clinton...\n\nYou get the point. There is a very vocal and very loud group of Sanders supporters who are absolutely disgusting human beings. And it makes it hard to look past them and see the passible candidate they support.', ""&gt;One interesting point that Matthew Yglesias made is that during February he was making the argument that a Sanders presidency wouldn't be radical and that DNC should embrace him rather than fear him. He says at the same time a lot of Bernie supporters were making the opposite argument: that Sanders was an existential threat to the DNC and that the DNC was right to be terrified of him. Yglesias said that those people probably damaged his cause quite substantially, and I tend to agree with him.\n\nIt was really interesting to see Sanders' base attack Yglesias as some centrist establishment Dem when he was one of the people speaking the most highly of Sanders - up until it was obvious he was going to lose and he pivoted to Biden.\n\nI agree with his sentiment and I think the ultimate reason Bernie lost is because his surrogates and his base were just never on the same page to win. Why call yourself an existential threat to the Democratic Party when you're trying to win Democratic voters? A lot of people made fun of Biden for telling a single person to vote for someone else (it was a Trump supporter if I'm not mistaken, so no loss there), but Bernie was doing that on a national scale.""]"
17,193,17_student_debt_loans_loan,"['student', 'debt', 'loans', 'loan', 'college', 'education', 'the', 'to', 'of', 'and']","['Well, for one the government could stop giving loans to every mediocre high school graduate and their brother. Why is tuition so expensive in the first place? Because colleges know students can easily get loans from the government, so why not keep raising tuition? What’s the government gonna do? Stop giving student loans? But that would be mean!\n\nSubprime mortgage lending began as a government initiative to give people a chance at owning a home.\n\nNow they lend money to give people a chance at university degrees and “a good job.”\n\nEven though the “good jobs” aren’t so readily available, people still want a degree, the government still gives the loans, and colleges raise tuition because they can, and each class goes deeper into debt than the last.\n\nIt’s a bubble just like 2008 and since the government has a monopoly on student loans they can’t blame the banks. They are the predatory lenders.\n\nWe can lower tuition by no longer guaranteeing that no matter how high a college raises its tuition the government will give you a loan.\n\nMake loans available only to the best of the best most promising students.\n\nWithout loans students won’t be able to afford tuition and schools will have no choice but to lower prices.', ""Well if it was to be as fair as possible, everyone would get $10k, not just people with student loans. Why should people with student loan debt get relief but not mortgage debt (there's more money in mortgage debt than student loan debt)? Or a car loan? Or credit card debt? Why means test debt relief at all?"", ""Btw biden only said he was for $10k of student loan forgiveness. It was people who lost the primary who were for blanket forgiveness and/or free college.\n\nThat being said student loan forgiveness is not good policy. It's an extremely temporary band aid solution (student loan debt will balloon to the same point again in 5-10 years), it does nothing to solve the underlying cause/problem (the cost of college. in fact it contributes to why college costs have been skyrocketing), it only helps some people in that situation (those with federal loans and not private ones), and it is not progressive as it primarily advantages people with statistically higher income and earning potential (college grads).\n\nI could get behind free public college though. That's smarter policy from Sanders and Warren.""]"
18,183,18_white_racism_racist_you,"['white', 'racism', 'racist', 'you', 'people', 'of', 'the', 'is', 'that', 'black']","['I might be a layman, but to me there should be a distinction made between using Marxism as a method of academic analysis and believing in Marxist politics. You can say analyze a movie through class conflict and still think the Bolsheviks were bastards.\n\n&gt;Most white people weren’t the descendants of slave owners. I’m fact, poor white people in the South were adversely affected by slavery as smaller farms couldn’t compete\n\nMost reading I\'ve done on CRT often distinguishes ""white elites"" from the rest of white society when having discussions on this. To be honest, CRT is probably the lens you should use if you\'re particularly interested in how poor or socially disadvantaged whites are *harmed* by systemic racism for which they\'re not even the target of. The self-corrosiveness of racist societies is a super interesting topic of discussion.', 'I think there are a few levels to this:\n\n\n1. Some people don’t think systemic racism exists because there are no overt laws that discriminate by race, and any other discrepancies with regards to outcome is entirely because of other correlating factors (example - more blacks shot because more criminal encounters by police with blacks)\n2. Some people accept that systemic racism exists as you describe\n3. Some people accept that systemic racism exists but also that sometimes the concept is pushed too far. Like **blanket generalizations** that **all** white people have privilege and therefore **all** white people are oppressors or **all** systems created by white people are oppressive. Edit - the issue with this labeling is that it is used to delegitimize any and all views from white people. Like “shut up and listen”', '&gt; ... is the exact same as the the one we had with White European immigrants decades ago\n\nHah, you know what? You\'re actually kind of right here. It\'s just that decades ago, back then? **They weren\'t considered white**. Italians weren\'t ""white"" in the 60s; my father was an Italian immigrant and his family had to travel to the west coast to find a community they could thrive in without being forbidden from legitimate and legal (read: ""white only"") jobs. Before that, Irish immigrants weren\'t ""white"" in the 20s either. Both of those groups are now ""white"" by modern standards. \n\n""White"" is a moving target, constantly updating to keep a line drawn with privilege on one side and oppression on the other. \n\nIronically in about oh, maybe 20-25 years from now, those mexicans you seem to disdain so much are going to be lumped into ""white"" too. It\'s already happening in a hundred ways, just wait. \n\nAll that to say that ""white"" doesn\'t matter, and isn\'t objective *at all*. There is no ""white"" race.']"
19,139,19_vaccine_vaccines_covid_vaccinated,"['vaccine', 'vaccines', 'covid', 'vaccinated', 'to', 'people', 'the', 'and', 'of', 'is']","['It is nonsense.\n\nIt is not an announcement of a vaccine.\n\nIt is an announcement that states need to have protocols to distribute a vaccine by Nov 1st, so that when trucks drops off vaccines (whenever that is, likely after Spring 2021), states aren\'t scrambling to draft plans.\n\nThe announcement is premature and is a blatant attempt to prop up Trump\'s approval rating. In other words, it is the CDC being used to campaign for Trump.\n\n&gt; They have estimated 2 million doses by the end of October, 10 to 20 million doses by the end of November. The vaccines would be distributed to healthcare workers and other high-risk groups first.\n\nDoubt.\n\n&gt; If they fail at distributing the vaccine by November, does it guarantee Biden the presidency?\n\nAssuming that any reporters ask for vaccine status updates and assuming they even respond to the question, they will defend themselves by saying, ""Well, if you look at the announcement, it was just instructions for states to get their ducks in a row so that whenever a vaccine is delivered to them, they are ready to quickly distribute it.""', 'I disagree. At this point, we’ve spent a year doing everything to get people vaccinated, and we seem to have hit diminishing returns with a significant portion of the population that simply refuses to believe they need this vaccine.\n\nThe more lockdowns, masking and mandates there are inconveniencing the vaccinated, the more annoyed they will get and more fuel will be added to the “what’s the point of getting the vaccine if it doesn’t work” fire. \n\nThe White House is now just delivering two separate messages - for the vaccinated: “Thank you, enjoy getting back to normal.” For the unvaccinated: “Please get the shot, but if you don’t, good luck surviving, we can’t do much else.”\n\nAs a frustrated vaccinated person who distanced for a year and a half and still wears masks when appropriate, the message resonates with me.', '\\&gt;The Trump administration created the government initiative to make the covid vaccines in the first place.\n\nNo they didn\'t.  Global cooperation on the Covid vaccine was happening while Trump was still downplaying Covid. The Astrozenica vaccine took less than 48 hours to develop, that was done by iirc Jan 15th. The rest of the time was testing, which had already demonstrated successes before Trump did his Warp Speed PR stunt. \n\n\\&gt; It turned out all of the vaccines created under OWS worked, and were highly successful. \n\nNo vaccines were created by OWS. They already existed, OWS was a PR stunt to try to take credit for work that had already happened.\n\nThe largest recipient of Warp Speed funding, close to $2B, was Glaxo, the only company who doesn\'t have a Covid vaccine. \n\nWarp Speed was Trump using taxes to buy self-publicity and to market himself to you. \n\n\\&gt;Then in response had high profile dems (including the current Biden administration) who were posting on social media calling it the ""Trump vaccine"" and saying that no one should trust any ""Trump vaccine"".\n\nNot at all what happened, but misinformation is your thing.']"
20,130,20_housing_and_to_in,"['housing', 'and', 'to', 'in', 'cities', 'of', 'the', 'live', 'people', 'are']","['Further: young people are being *forced* out of cities because of the cost of housing. Most immediately the suburbs will expand, but long term I think we\'ll see more and more people staying in smaller towns and even moving to them when they start families. Big cities are fun when you\'re in your 20s and drinking a lot, but when you have kids your priorities shift. All of a sudden a large section of land in a safe little town without junkies and shit on every corner sounds pretty great. If people can earn city money from there, I personally know a lot of people who would sign up.\n\nThe responses I\'m seeing from users in this thread are clearly from young people. Some guy was complaining there was ""only"" 10 Thai restaurants in Boise, and so could never live there. It doesn\'t get more out of touch than that.', ""Answers will probably depend on country and maybe even regions within country.\n\nMy opinion about the situation in the US:\n\n&gt; to what extent is the housing crisis affecting politics in western countries?\n\nVery little so far. The only part of the crisis that is starting to have an effect is the inability to deal with homelessness and voter patience running out on this.\n\n&gt; does the current housing crisis represent an asset bubble\n\nIf by this you mean the crisis will be resolved in the near future by a rapid decline in home prices then no.\n\n&gt; does it represent a paradigm shift in western societies to a primarily renter based society?\n\nIt might *force* such a paradigm shift, but rents are through the roof as well so that's not going to be the end of the crisis.\n\n&gt; can this crisis be resolved? If yes or no, why?\n\nIn theory yes, by building more housing. In practice there are a lot of reasons why more housing will not be built quickly, including:\n\n* Lack of construction workers.\n\n* Supply chain issues.\n\n* People wanting to live on 1/2 acre instead of a bee hive.\n\n* Zoning laws (very popular scapegoat, I suspect perhaps a bit overblown)."", 'I\'m not familiar with New Bedford, but housing prices are an issue in most American cities, including Boston/the Boston suburbs and New York City and its many suburbs (all of which are much closer to you than CA). Housing IS more of a problem where there are a lot of jobs, but cities in general tend to have more jobs. \n\nThe conflict in these cities is over existing homeowners that don\'t want change and the need for new housing that will be denser than traditional single family suburbs to accommodate growth of the city (the ""renters"" in the above comment).']"
21,123,21_israel_jews_jewish_palestinians,"['israel', 'jews', 'jewish', 'palestinians', 'the', 'of', 'hamas', 'palestine', 'to', 'and']","[""&gt; First, even taking everything at face value, in the Hebrew Bible the Hebrews actually violently displaced or annihilated the original inhabitants of Canaan.\n\nWe are talking about reality, not the Bible. Reality shows that Jews were the dominant people in the region until Emperor Hadrian murdered 500,000 Jews and displaced over a million more. The First Crusade then killed over a million more Jews and left them as a minority. \n\n&gt;Second, the historical brutality against the Jews does not excuse their visiting that same brutality on people in the modern day.\n\nNever said it does, but Jews have a right to their homeland just as all native peoples have right to theirs. \n\n&gt;Third, Jews have lived in Palestine for generations before modern Israel was founded.\n\nYes, and? That doesn't change the fact that it is the traditional homeland of the Jewish people and there have been multiple attempts at peace by both Israel itself and the UN that all failed because the Palestinians refused to even accept the existence of Israel."", 'There is an important difference between ""ethnostate"" and ""nation-state.""\n\nEthnostate: a sovereign state of which citizenship is restricted to members of a particular racial or ethnic group.\n\nNation-state: a sovereign state whose citizens or subjects are relatively homogeneous in factors such as language or common descent.\n\nEDIT: (both definitions from *Oxford English Dictionary via* Google)\n\nIsrael does not restrict citizenship only to Jews. There are non-Jewish citizens of Israel who have all of the same essential rights as the Jewish citizens of Israel. Therefore, Israel is not an ethnostate.\n\nIsrael, by its own design and intentions, is relatively homogeneous in factors like language and common descent. Israel is a nation-state. The same is true for most countries in Europe, for example. Just as Israel is the country for Jews, Estonia is the country for Estonians, Czechia is the country for Czechs, and so on and so forth.', ""Just for reference:\n\n&gt; Many even oppose the Israeli government in certain of its actions. \n\n[25%](https://www.timesofisrael.com/poll-finds-a-quarter-of-us-jews-think-israel-is-apartheid-state/) of American Jews think Israel is an apartheid state\n\n&gt; don't base their entire political philosophy around the State of Israel\n\n[Only 4%](https://www.jpost.com/american-politics/only-4-percent-of-american-jews-consider-israel-most-important-voting-issue-639993) of American Jews consider Israel most important voting issue""]"
22,120,22_climate_energy_change_carbon,"['climate', 'energy', 'change', 'carbon', 'the', 'to', 'coal', 'is', 'of', 'and']","['I think the single issue most likely to be a unifying force is renewable energy. You don’t have to believe in climate change to support it, and it won’t have inherent winners and losers except for the C suites at big oil. The rank and file workers will be able to cleanly move to a new but similar industry with a future and good paying jobs. The training required will be straight forward for people already in the energy sector.', 'Gas has been responsible for the most carbon emission reductions due to replacing coal. \n\n> Homes with electric stoves use less energy, and often get energy from better, more renewable sources\n\nWhere are all those electric stoves getting that green energy from? Renewables are not even 15% of US power production. \n\nBy fuel/energy source\tshare of total\r  \nNatural gas\t36%\r  \nPetroleum (crude oil and natural gas plant liquids)\t31%\r  \nRenewable energy\t13%\r  \nCoal\t12%\r  \nNuclear electric power\t8%\n\nhttps://www.eia.gov/energyexplained/us-energy-facts/data-and-statistics.php', 'Something can be a big deal and also not address climate change. Climate change is not the only important issue that government has to deal with. Infrastructure unrelated (directly at least) to climate change is also important.']"
